PresidentNumber,PresidentName,PresTermStart,PresTermEnd,VPName
1,George Washington,1789,1797,John Adams
2,John Adams,1797,1801,Thomas Jefferson
3,Thomas Jefferson,1801,1809,Aaron Burr
4,James Madison,1809,1817,George Clinton
5,James Monroe,1817,1825,Daniel D. Tompkins
6,John Quincy Adams,1825,1829,John C. Calhoun
7,Andrew Jackson,1829,1837,John C. Calhoun
8,Martin Van Buren,1837,1841,Richard Mentor Johnson
9,William Henry Harrison,1841,1841,John Tyler
10,John Tyler,1841,1845,Office vacant
11,James K. Polk,1845,1849,George M. Dallas
12,Zachary Taylor,1849,1850,Millard Fillmore
13,Millard Fillmore,1850,1853,Office vacant
14,Franklin Pierce,1853,1857,William R. King
15,James Buchanan,1857,1861,John C. Breckinridge
16,Abraham Lincoln,1861,1865,Hannibal Hamlin
17,Andrew Johnson,1865,1869,Office vacant
18,Ulysses S. Grant,1869,1877,Schuyler Colfax
19,Rutherford B. Hayes,1877,1881,William A. Wheeler
20,James A. Garfield,1881,1881,Chester A. Arthur
21,Chester A. Arthur,1881,1885,Office vacant
22,Grover Cleveland,1885,1889,Thomas A. Hendricks
23,Benjamin Harrison,1889,1893,Levi P. Morton
24,Grover Cleveland,1893,1897,Adlai Stevenson
25,William McKinley,1897,1901,Garret Hobart
26,Theodore Roosevelt,1901,1909,Office vacant
27,William Howard Taft,1909,1913,James S. Sherman
28,Woodrow Wilson,1913,1921,Thomas R. Marshall
29,Warren G. Harding,1921,1923,Calvin Coolidge
30,Calvin Coolidge,1923,1929,Office vacant
31,Herbert Hoover,1929,1933,Charles Curtis
32,Franklin D. Roosevelt,1933,1941,John Nance Garner
33,Harry S. Truman,1945,1953,Office vacant
34,Dwight D. Eisenhower,1953,1961,Richard Nixon
35,John F. Kennedy,1961,1963,Lyndon B. Johnson
36,Lyndon B. Johnson,1963,1969,Office vacant
37,Richard Nixon,1969,1974,Spiro Agnew
38,Gerald Ford,1974,1977,Office vacant
39,Jimmy Carter,1977,1981,Walter Mondale
40,Ronald Reagan,1981,1989,George H. W. Bush
41,George H. W. Bush,1989,1993,Dan Quayle
42,Bill Clinton,1993,2001,Al Gore
43,George W. Bush,2001,2009,Dick Cheney
44,Barack Obama,2009,2017,Joe Biden
45,Donald Trump,2017,Null,Mike Pence
