VicePresPairingID,PresidentName,VPName,PairingTermStart,PairingTermEnd
1,George Washington,John Adams,1789,1797
2,John Adams,Thomas Jefferson,1797,1801
3,Thomas Jefferson,Aaron Burr,1801,1805
4,Thomas Jefferson,George Clinton,1805,1809
5,James Madison,George Clinton,1809,1812
6,James Madison,Elbridge Gerry,1813,1814
7,James Monroe,Daniel D. Tompkins,1817,1825
8,John Quincy Adams,John C. Calhoun,1825,1829
9,Andrew Jackson,John C. Calhoun,1829,1832
10,Andrew Jackson,Martin Van Buren,1833,1837
11,Martin Van Buren,Richard Mentor Johnson,1837,1841
12,William Henry Harrison,John Tyler,1841,1841
13,James K. Polk,George M. Dallas,1845,1849
14,Zachary Taylor,Millard Fillmore,1849,1850
15,Franklin Pierce,William R. King,1853,1853
16,James Buchanan,John C. Breckinridge,1857,1861
17,Abraham Lincoln,Hannibal Hamlin,1861,1865
18,Abraham Lincoln,Andrew Johnson,1865,1865
19,Ulysses S. Grant,Schuyler Colfax,1869,1873
20,Ulysses S. Grant,Henry Wilson,1873,1875
21,Rutherford B. Hayes,William A. Wheeler,1877,1881
22,James A. Garfield,Chester A. Arthur,1881,1881
23,Grover Cleveland,Thomas A. Hendricks,1885,1885
24,Benjamin Harrison,Levi P. Morton,1889,1893
25,Grover Cleveland,Adlai Stevenson,1893,1897
26,William McKinley,Garret Hobart,1897,1899
27,William McKinley,Theodore Roosevelt,1901,1901
28,Theodore Roosevelt,Charles W. Fairbanks,1905,1909
29,William Howard Taft,James S. Sherman,1909,1912
30,Woodrow Wilson,Thomas R. Marshall,1913,1921
31,Warren G. Harding,Calvin Coolidge,1921,1923
32,Calvin Coolidge,Charles G. Dawes,1925,1929
33,Herbert Hoover,Charles Curtis,1929,1933
34,Franklin D. Roosevelt,John Nance Garner,1933,1941
35,Franklin D. Roosevelt,Henry A. Wallace,1941,1945
36,Franklin D. Roosevelt,Harry S. Truman,1945,1945
37,Harry S. Truman,Alben W. Barkley,1949,1953
38,Dwight D. Eisenhower,Richard Nixon,1953,1961
39,John F. Kennedy,Lyndon B. Johnson,1961,1963
40,Lyndon B. Johnson,Hubert H. Humphrey,1965,1969
41,Richard Nixon,Spiro Agnew,1969,1973
42,Richard Nixon,Gerald Ford,1973,1974
43,Gerald Ford,Nelson Rockefeller,1974,1977
44,Jimmy Carter,Walter Mondale,1977,1981
45,Ronald Reagan,George H. W. Bush,1981,1989
46,George H. W. Bush,Dan Quayle,1989,1993
47,Bill Clinton,Al Gore,1993,2001
48,George W. Bush,Dick Cheney,2001,2009
49,Barack Obama,Joe Biden,2009,2017
50,Donald Trump,Mike Pence,2017,Null
