VPNumber,VPName
1,John Adams
2,Thomas Jefferson
3,Aaron Burr
4,George Clinton
5,Elbridge Gerry
6,Daniel D. Tompkins
7,John C. Calhoun
8,Martin Van Buren
9,Richard Mentor Johnson
10,John Tyler
11,George M. Dallas
12,Millard Fillmore
13,William R. King
14,John C. Breckinridge
15,Hannibal Hamlin
16,Andrew Johnson
17,Schuyler Colfax
18,Henry Wilson
19,William A. Wheeler
20,Chester A. Arthur
21,Thomas A. Hendricks
22,Levi P. Morton
23,Adlai Stevenson
24,Garret Hobart
25,Theodore Roosevelt
26,Charles W. Fairbanks
27,James S. Sherman
28,Thomas R. Marshall
29,Calvin Coolidge
30,Charles G. Dawes
31,Charles Curtis
32,John Nance Garner
33,Henry A. Wallace
34,Harry S. Truman
35,Alben W. Barkley
36,Richard Nixon
37,Lyndon B. Johnson
38,Hubert H. Humphrey
39,Spiro Agnew
40,Gerald Ford
41,Nelson Rockefeller
42,Walter Mondale
43,George H. W. Bush
44,Dan Quayle
45,Al Gore
46,Dick Cheney
47,Joe Biden
48,Mike Pence
