PresidentName,PresidentHeightCM,PresidentTermStart
James Madison,163,1809
Martin Van Buren,168,1837
Benjamin Harrison,168,1889
John Adams,170,1797
William McKinley,170,1897
John Quincy Adams,171,1825
William Henry Harrison,173,1841
James K. Polk,173,1845
Ulysses S. Grant,173,1869
Zachary Taylor,173,1849
Rutherford B. Hayes,174,1877
Harry S. Truman,175,1945
Millard Fillmore,175,1850
Jimmy Carter,177,1977
Theodore Roosevelt,178,1901
Franklin Pierce,178,1853
Andrew Johnson,178,1865
Calvin Coolidge,178,1923
Dwight D. Eisenhower,179,1953
Woodrow Wilson,180,1913
Grover Cleveland,180,1885
Grover Cleveland,180,1893
William Howard Taft,182,1909
George W. Bush,182,2001
Richard Nixon,182,1969
Herbert Hoover,182,1929
James A. Garfield,183,1881
Chester A. Arthur,183,1881
James Buchanan,183,1857
John F. Kennedy,183,1961
Warren G. Harding,183,1921
John Tyler,183,1841
James Monroe,183,1817
Gerald Ford,183,1974
Andrew Jackson,185,1829
Ronald Reagan,185,1981
Barack Obama,185,2009
George H. W. Bush,188,1989
Bill Clinton,188,1993
Franklin D. Roosevelt,188,1933
George Washington,189,1789
Thomas Jefferson,189,1801
Donald Trump,190,2017
Abraham Lincoln,193,1861
Lyndon B. Johnson,193,1963
